# x, ygreen, yerrgreen, yblue, yerrblue, yred, yerrred
-4.000000000000000000e+00 1.325746287184920158e-02 5.218713567949362364e-02 -4.215361478446572052e-02 5.717161481022690894e-02 2.154085479626632882e-02 7.552120634314042624e-02
-3.600000000000000089e+00 -8.522950321583158684e-02 5.415723241334938903e-02 2.024112402537270317e-02 6.038270597883382135e-02 3.766819252189024247e-03 7.886997835735787277e-02
-3.200000000000000178e+00 -3.696560666593962097e-03 6.484594912167510050e-02 7.784752246303972001e-02 6.737165827678720520e-02 -1.020177138029920716e-01 5.956566385233421496e-02
-2.799999999999999822e+00 -9.520680457371633043e-02 5.747066537072488546e-02 9.749757679742931948e-02 6.742497240014581894e-02 -2.371339770482376874e-01 5.735350907136044230e-02
-2.399999999999999911e+00 9.329416220189362674e-02 6.540442416052717756e-02 -7.759653675985633825e-03 7.066003402818579748e-02 -1.303608614320623804e-01 8.194851636432869124e-02
-2.000000000000000000e+00 6.228456771392665292e-02 6.801822536666038421e-02 2.068971896519822273e-02 7.293083977495519454e-02 -4.660078896426503303e-01 5.473209828941451305e-02
-1.599999999999999645e+00 1.185106890271125923e-01 8.328749409584013108e-02 -7.336380927411600972e-02 7.763794646972364821e-02 -3.879467289867728486e-01 6.363491552388404748e-02
-1.199999999999999734e+00 4.648252603005467165e-01 8.802673395836115022e-02 -3.258189457245719289e-02 8.556086511976018771e-02 -2.875351463327113777e-02 6.792099737376181001e-02
-7.999999999999998224e-01 9.097546471633495280e-01 1.044641846701284404e-01 4.427811855818866160e-01 9.858010349420726071e-02 7.065216232440596489e-01 8.409162130268543756e-02
-3.999999999999999112e-01 1.566917827808581354e+00 1.395041474695479233e-01 1.359449695212079146e+00 1.380830658273440592e-01 1.479113156266577800e+00 1.158654182625929174e-01
0.000000000000000000e+00 1.858667585318867665e+00 1.940288994752693286e-01 1.641596221418736512e+00 1.983578166488348671e-01 1.805085868099520319e+00 1.576283325516178724e-01
4.000000000000003553e-01 1.566917827808581354e+00 1.395041474695479233e-01 1.942949827298701582e+00 1.483708427350470260e-01 1.860891028909309908e+00 1.116794721430728610e-01
8.000000000000007105e-01 9.097546471633495280e-01 1.044641846701284404e-01 1.185833544888255986e+00 1.090820057954819122e-01 9.071113227169493864e-01 8.050228892968991357e-02
1.200000000000000178e+00 4.648252603005467165e-01 8.802673395836115022e-02 5.307178307500922676e-01 8.845289132351837058e-02 4.199073477768986429e-01 6.823221579604700493e-02
1.600000000000000533e+00 1.185106890271125923e-01 8.328749409584013108e-02 1.774990118614104828e-01 7.292386771246812949e-02 1.215419543721842910e-01 5.651591488372522537e-02
2.000000000000000000e+00 6.228456771392665292e-02 6.801822536666038421e-02 -8.634675952211434691e-02 7.285506768508118181e-02 3.086842033742243085e-02 5.335716420231180479e-02
2.400000000000000355e+00 9.329416220189362674e-02 6.540442416052717756e-02 -4.229123788131228245e-02 5.908914419275689001e-02 -9.636132787141232781e-02 4.498416238011627294e-02
2.800000000000000711e+00 -9.520680457371633043e-02 5.747066537072488546e-02 -4.060206755763767772e-02 5.469196109959705704e-02 -7.229062939246994057e-02 4.292717885622981261e-02
3.200000000000000178e+00 -3.696560666593962097e-03 6.484594912167510050e-02 -3.922257301558601528e-02 4.911646169124567196e-02 -4.241597577067801605e-02 4.050226153883099839e-02
3.600000000000000533e+00 -8.522950321583158684e-02 5.415723241334938903e-02 -4.823574422246351689e-02 4.407921798736182117e-02 -5.190069246279066517e-02 3.251162988925953429e-02
4.000000000000000000e+00 1.325746287184920158e-02 5.218713567949362364e-02 -3.782916407556641269e-02 4.436112993030063428e-02 -4.628055926214735827e-03 3.271582622710827309e-02
