# x, ygreen, yerrgreen, yblue, yerrblue, yred, yerrred
-4.000000000000000000e+00 -2.986051372379214253e-02 5.077229698350686771e-02 -1.606770315364420831e-01 5.440861186056768911e-02 -2.485704952316369898e-02 4.265897185109637085e-02
-3.600000000000000089e+00 -7.689276624539254090e-02 5.523797712968304269e-02 4.142800644404454058e-02 5.687468432505417976e-02 -3.481901856040847676e-02 5.488910994063034288e-02
-3.200000000000000178e+00 8.615374905785899706e-03 6.206452045941622531e-02 -9.024448807499385605e-02 5.673292544084081873e-02 -9.296458571061777532e-02 2.778231327755311536e-02
-2.799999999999999822e+00 7.250767165926053082e-02 7.067114649856900965e-02 2.223159042516320572e-02 6.478189328421524174e-02 6.209405582295024484e-02 4.821229504868834032e-02
-2.399999999999999911e+00 9.778933325693373035e-02 7.450487529199886771e-02 -1.113162497275141938e-01 7.106825033512895184e-02 1.661940706392270872e-01 5.502271725963529120e-02
-2.000000000000000000e+00 2.217328711962504029e-01 8.687333189101467679e-02 3.051146297625706438e-03 7.174875210181654028e-02 3.107060858645382950e-01 6.272446043712555375e-02
-1.599999999999999645e+00 4.975035830132763515e-01 9.166771591078312631e-02 3.208220570756848966e-01 7.995471542964580070e-02 9.704665838064943095e-01 8.451270167376280507e-02
-1.199999999999999734e+00 1.044310428247466893e+00 1.096559737703204224e-01 8.287576025048943862e-01 1.034543059179810626e-01 1.742988243408318372e+00 1.079241544774726252e-01
-7.999999999999998224e-01 1.880187178667875436e+00 1.312034164400417979e-01 1.583387066708222379e+00 1.241229811183350296e-01 2.449019626885864831e+00 1.387953572191034934e-01
-3.999999999999999112e-01 2.532639507340078033e+00 1.780751171579166847e-01 2.948088115578725521e+00 1.637149596068656343e-01 3.142915204893510506e+00 1.692993838902236425e-01
0.000000000000000000e+00 2.936851535164445082e+00 1.947983606850978711e-01 3.495929734396105104e+00 2.103801995309409478e-01 2.332350479724174530e+00 1.495347673718101233e-01
4.000000000000003553e-01 2.532639507340078033e+00 1.780751171579166847e-01 2.959242861562664917e+00 1.777901848757325876e-01 1.856460786125536444e+00 1.250197285246671119e-01
8.000000000000007105e-01 1.880187178667875436e+00 1.312034164400417979e-01 1.532709713301218413e+00 1.372683548459376068e-01 8.551700707790463873e-01 1.024233647628428473e-01
1.200000000000000178e+00 1.044310428247466893e+00 1.096559737703204224e-01 6.445159834958360534e-01 1.143233064926703346e-01 2.754297073757936420e-01 9.089328583679220919e-02
1.600000000000000533e+00 4.975035830132763515e-01 9.166771591078312631e-02 2.981266981115122672e-01 1.009657679825518017e-01 -8.186627643995492143e-02 7.248607915963944937e-02
2.000000000000000000e+00 2.217328711962504029e-01 8.687333189101467679e-02 1.920559392445950753e-01 9.062733044235965485e-02 -4.287805868380334395e-02 7.625336603514838718e-02
2.400000000000000355e+00 9.778933325693373035e-02 7.450487529199886771e-02 -3.142906279192025920e-02 8.421689641600006715e-02 -8.548947089923242260e-02 6.939998264817974494e-02
2.800000000000000711e+00 7.250767165926053082e-02 7.067114649856900965e-02 -1.763453073322596154e-03 8.000492301903994186e-02 -1.324263759392391160e-01 6.190653262994930128e-02
3.200000000000000178e+00 8.615374905785899706e-03 6.206452045941622531e-02 -1.125302612293910265e-02 7.413114425839661958e-02 -4.534321228690985084e-02 6.020193916771503923e-02
3.600000000000000533e+00 -7.689276624539254090e-02 5.523797712968304269e-02 3.005909116416505267e-02 6.132073769548625208e-02 -6.538923505603744246e-02 5.417611068981167260e-02
4.000000000000000000e+00 -2.986051372379214253e-02 5.077229698350686771e-02 3.522610448179863685e-02 6.300111898542092026e-02 1.988354907321854270e-02 4.990919981937862182e-02
