# x, yred, yerrred, yblue, yerrblue
-4.000000000000000000e+00 8.283391924417127239e-03 9.179841903841846895e-02 -5.541107765631492210e-02 7.740859558497902027e-02
-3.600000000000000089e+00 8.899632246802061109e-02 9.567381725824281036e-02 1.054706272412042900e-01 8.111150968882181733e-02
-3.200000000000000178e+00 -9.832115313639810950e-02 8.805149304617242156e-02 8.154408312963368211e-02 9.350902339590048962e-02
-2.799999999999999822e+00 -1.419271724745213570e-01 8.119299465441869035e-02 1.927043813711456499e-01 8.859460638952160183e-02
-2.399999999999999911e+00 -2.236550236339560072e-01 1.048489295800619919e-01 -1.010538158778792606e-01 9.628384656127177144e-02
-2.000000000000000000e+00 -5.282924573565770388e-01 8.730453347445327195e-02 -4.159484874872843019e-02 9.972655800893756584e-02
-1.599999999999999645e+00 -5.064574180138854409e-01 1.048151188831862451e-01 -1.918744983012286021e-01 1.138615712380620509e-01
-1.199999999999999734e+00 -4.935787749338178543e-01 1.111843863841621011e-01 -4.974071548730039094e-01 1.227573522499482983e-01
-7.999999999999998224e-01 -2.032330239192898791e-01 1.341050582644404132e-01 -4.669734615814629120e-01 1.436342670943229760e-01
-3.999999999999999112e-01 -8.780467154200355395e-02 1.813455329209158473e-01 -2.074681325965022083e-01 1.962863730101608584e-01
0.000000000000000000e+00 -5.358171721934734677e-02 2.499878098119738268e-01 -2.170713639001311535e-01 2.774761922350761911e-01
4.000000000000003553e-01 2.939732011007285539e-01 1.787000606025660188e-01 3.760319994901202278e-01 2.036548897893527832e-01
8.000000000000007105e-01 -2.643324446400141525e-03 1.318839808381365719e-01 2.760788977249064580e-01 1.510352603439350794e-01
1.200000000000000178e+00 -4.491791252364807363e-02 1.113747779518074604e-01 6.589257044954555109e-02 1.247903036091596585e-01
1.600000000000000533e+00 3.031265345071698647e-03 1.006521500411644426e-01 5.898832283429789047e-02 1.107009356550799767e-01
2.000000000000000000e+00 -3.141614737650422207e-02 8.644921025516812130e-02 -1.486313272360409998e-01 9.967115866401654589e-02
2.400000000000000355e+00 -1.896554900733059545e-01 7.938081358118483088e-02 -1.355854000832059092e-01 8.814343799286800119e-02
2.800000000000000711e+00 2.291617518124638986e-02 7.173297751180122972e-02 5.460473701607865271e-02 7.933528840984743757e-02
3.200000000000000178e+00 -3.871941510408405396e-02 7.645541385180479321e-02 -3.552601234899205318e-02 8.134755021854364609e-02
3.600000000000000533e+00 3.332881075304092167e-02 6.316654099069962669e-02 3.699375899336806994e-02 6.982824128567827193e-02
4.000000000000000000e+00 -1.788551879806393741e-02 6.159401282715895598e-02 -5.108662694741561427e-02 6.849384628653067131e-02
