# x, yblue, yerrblue, yred, yerrred
-4.000000000000000000e+00 -1.308165178126499406e-01 7.441856747865634170e-02 5.003464200628443548e-03 6.631450837014517263e-02
-3.600000000000000089e+00 1.183207726894370815e-01 7.928407049624754122e-02 4.207374768498406414e-02 7.787200079267253550e-02
-3.200000000000000178e+00 -9.885986298077975576e-02 8.408703543908120637e-02 -1.015799606164036750e-01 6.799898257260471313e-02
-2.799999999999999822e+00 -5.027608123409732510e-02 9.587024900828022833e-02 -1.041361583631028598e-02 8.555019778635220007e-02
-2.399999999999999911e+00 -2.091055829844479241e-01 1.029644241860889486e-01 6.840473738229335687e-02 9.262006184898642636e-02
-2.000000000000000000e+00 -2.186817248986246964e-01 1.126714658731939600e-01 8.897321466828789216e-02 1.071509856743040751e-01
-1.599999999999999645e+00 -1.766815259375914549e-01 1.216376860176799080e-01 4.729630007932179581e-01 1.246810606487547962e-01
-1.199999999999999734e+00 -2.155528257425725069e-01 1.507555173003244098e-01 6.986778151608514786e-01 1.538572575577589474e-01
-7.999999999999998224e-01 -2.968001119596530568e-01 1.806124329254261973e-01 5.688324482179893948e-01 1.909934231095866131e-01
-3.999999999999999112e-01 4.154486082386474877e-01 2.418952983211608565e-01 6.102756975534324724e-01 2.457092361642416178e-01
0.000000000000000000e+00 5.590781992316600224e-01 2.867162877833765444e-01 -6.045010554402705516e-01 2.455749335305679182e-01
4.000000000000003553e-01 4.266033542225868835e-01 2.516348489159498936e-01 -6.761787212145415893e-01 2.175791347330603143e-01
8.000000000000007105e-01 -3.474774653666570234e-01 1.898866444162128908e-01 -1.025017107888829049e+00 1.664478360774972188e-01
1.200000000000000178e+00 -3.997944447516308397e-01 1.584116504267733538e-01 -7.688807208716732511e-01 1.424290068550855826e-01
1.600000000000000533e+00 -1.993768849017640843e-01 1.363710249452079470e-01 -5.793698594532312729e-01 1.168640313023539268e-01
2.000000000000000000e+00 -2.967693195165532760e-02 1.255399889157038096e-01 -2.646109298800537468e-01 1.155921780465127696e-01
2.400000000000000355e+00 -1.292183960488539896e-01 1.124431504548835947e-01 -1.832788041561661529e-01 1.018201062356740710e-01
2.800000000000000711e+00 -7.427112473258312697e-02 1.067482957929760529e-01 -2.049340475984996468e-01 9.395120930400618908e-02
3.200000000000000178e+00 -1.986840102872500236e-02 9.668211442100604902e-02 -5.395858719269575055e-02 8.646547391537594274e-02
3.600000000000000533e+00 1.069518574095575936e-01 8.253161205803516420e-02 1.150353118935509844e-02 7.737108689203037182e-02
4.000000000000000000e+00 6.508661820559077937e-02 8.091333100544424728e-02 4.974406279701068523e-02 7.119518500286436957e-02
