# x, yblue(aa(n1n2>0)), yerrblue(aa(n1n2>0)), yred(aa(n1n2<0)), yerrred(aa(n1n2<0)), ylightblue(pp(n1n2>0)), yerrlightblue(pp(n1n2>0)), ygreen(pp(n1n2<0)), yerrgreen(pp(n1n2<0))
-4.000000000000000000e+00 -2.571900383929914824e-01 5.885790341853344154e-01 -4.746590024651595741e-01 5.868019935965287370e-01 -1.447190727628788753e-02 2.708361017993826322e-02 -6.960086031291057296e-03 2.915290301444247584e-02
-3.600000000000000089e+00 -4.348413167787725797e-01 6.244276976117681954e-01 -5.744304528352586203e-01 6.230169894686365950e-01 -1.275526462411142870e-01 2.923127052362933104e-02 -1.975895947152972454e-03 3.107538663438988782e-02
-3.200000000000000178e+00 -5.048337259746631389e-01 6.501268831894433387e-01 -8.227842246147645255e-01 6.483435428463827366e-01 -2.294351903941398430e-01 3.426216272357827941e-02 -1.698134242140513228e-01 2.935243119245498078e-02
-2.799999999999999822e+00 -9.009451471309830595e-01 6.680606677358200685e-01 -1.366264214748696304e+00 6.660192981139648749e-01 -3.292079982610996991e-01 2.927082211101615650e-02 -2.679989255787297298e-01 2.929984198874957188e-02
-2.399999999999999911e+00 -1.432563140483779307e+00 6.795457188856133257e-01 -2.021110561344954704e+00 6.776874513048064541e-01 -6.255830468068240835e-01 2.554923271475563473e-02 -5.625767446578034958e-01 2.959845833261065887e-02
-2.000000000000000000e+00 -2.001848143111345735e+00 6.848971298375433614e-01 -2.807602444806860831e+00 6.824824236021920232e-01 -7.421572479502204223e-01 3.439419605520919326e-02 -7.448475172237445374e-01 3.202082822170948528e-02
-1.599999999999999645e+00 -2.296132671833532868e+00 6.860788306034827366e-01 -3.209508132484188536e+00 6.833774779320025416e-01 -1.130574646003184469e+00 3.890171497657415184e-02 -1.069213455222591591e+00 3.124628381838824576e-02
-1.199999999999999734e+00 -2.530092299900303487e+00 6.854651852462171346e-01 -3.113802512121139898e+00 6.835215076600253958e-01 -1.129556499081545429e+00 3.561846580516506849e-02 -1.031960389543266299e+00 3.683188794215505601e-02
-7.999999999999998224e-01 -1.981593044126924497e+00 6.857682793922315057e-01 -2.263203475770552586e+00 6.844246102885113148e-01 -1.087297240032388146e+00 3.799807150348399193e-02 -9.193297275713039340e-01 3.910169594602273119e-02
-3.999999999999999112e-01 -2.642475926095642080e-01 6.890054176335510538e-01 -3.246787649057978342e-01 6.880524899449128595e-01 5.042359399486473492e-02 5.128836307865621696e-02 1.777542829290590376e-01 5.569544427202326869e-02
0.000000000000000000e+00 3.141845495475507732e+00 6.955820714608946798e-01 2.964453738437782704e+00 6.936053458754412038e-01 2.993436584549900026e+00 7.492008101521877017e-02 2.756654279107848549e+00 7.557163610370845608e-02
4.000000000000003553e-01 8.610817149098579648e-01 6.898635712228917694e-01 7.177357873242442565e-01 6.884872156606092197e-01 2.643190258563998807e-01 4.613316660949955822e-02 2.312498155624078677e-01 4.867264103050351204e-02
8.000000000000007105e-01 -3.285083680543436913e-01 6.826040377391243696e-01 -6.374255273065330130e-01 6.807405563334135712e-01 -4.303881537580560579e-01 3.352444772165506792e-02 -4.401735064338347936e-01 3.610255028250578674e-02
1.200000000000000178e+00 -3.651285281859770748e-01 6.713811158677749358e-01 -7.879555740728960700e-01 6.694245404827817714e-01 -3.058376882422705334e-01 3.497733295873490383e-02 -3.327716876041885152e-01 3.237885381338793250e-02
1.600000000000000533e+00 -3.195514208220231467e-01 6.536788204825803028e-01 -8.095375539148221833e-01 6.516302383877694560e-01 -1.295652241341777033e-01 3.337283279936346936e-02 -1.541013111631998056e-01 2.929337154670183865e-02
2.000000000000000000e+00 -1.459253397324573598e-01 6.293695138713518711e-01 -6.772092470614836657e-01 6.273572703592211752e-01 -1.712616572877937449e-01 2.526019063396067049e-02 -4.780480153834298918e-02 2.757382411567593783e-02
2.400000000000000355e+00 -4.777833051821289700e-02 5.951066417888437599e-01 -7.091438791683515319e-01 5.923719258002774213e-01 -9.731211768167047360e-02 2.507684201090288126e-02 2.432403529754978422e-02 2.698292558296941715e-02
2.800000000000000711e+00 1.698084934599108919e-01 5.038391425902400966e-01 -5.644694815198079141e-01 5.034757241585063881e-01 -1.242890981933773564e-01 2.201200993678707404e-02 -5.570467210937446456e-02 2.458706955209792946e-02
3.200000000000000178e+00 7.685611053899989997e-01 4.043426455792332730e-01 -1.089628753799644301e+00 3.993889615226399181e-01 -2.596691520832433708e-02 2.164396179523808694e-02 -6.987647414623365805e-02 2.147986567022774559e-02
3.600000000000000533e+00 -4.100455185413203196e-01 2.733713493267008743e-01 -4.023732893240357100e-01 2.741507223398339521e-01 3.026145513596811831e-03 2.242136621568030161e-02 -8.419370759525474091e-02 1.901322124153603105e-02
4.000000000000000000e+00 1.069482217273709512e-03 2.639216290950913146e-02 -1.046937147034771032e-02 2.572941732586669569e-02 -1.353729525335289896e-02 1.627940743054871395e-02 -4.365016304125790558e-02 1.738493638670988994e-02
