# x, yblue(n1n2>0), yerrblue(n1n2>0), yred(n1n2<0), yerrred(n1n2<0)
-4.000000000000000000e+00 -2.427181311167035949e-01 5.892018341985366670e-01 -4.676989164338685168e-01 5.875257198140606540e-01
-3.600000000000000089e+00 -3.072886705376582928e-01 6.251115234269477572e-01 -5.724545568881056479e-01 6.237915106997209413e-01
-3.200000000000000178e+00 -2.753985355805232960e-01 6.510290777224294612e-01 -6.529708004007132027e-01 6.490076384508175478e-01
-2.799999999999999822e+00 -5.717371488698833604e-01 6.687016052042080716e-01 -1.098265289169966685e+00 6.666634729762717093e-01
-2.399999999999999911e+00 -8.069800936769552235e-01 6.800258431472128162e-01 -1.458533816687151319e+00 6.783335097071879760e-01
-2.000000000000000000e+00 -1.259690895161125201e+00 6.857601907241254180e-01 -2.062754927583116071e+00 6.832331900353831866e-01
-1.599999999999999645e+00 -1.165558025830348399e+00 6.871808388119978739e-01 -2.140294677261596945e+00 6.840914468089510647e-01
-1.199999999999999734e+00 -1.400535800818758059e+00 6.863899731864856468e-01 -2.081842122577873599e+00 6.845131404167619227e-01
-7.999999999999998224e-01 -8.942958040945363507e-01 6.868201995126276271e-01 -1.343873748199248652e+00 6.855406550996343551e-01
-3.999999999999999112e-01 -3.146711866044289430e-01 6.909116887965293108e-01 -5.024330478348568718e-01 6.903029852405770939e-01
0.000000000000000000e+00 1.484089109256077066e-01 6.996052005789809014e-01 2.077994593299341552e-01 6.977101461283057304e-01
4.000000000000003553e-01 5.967626890534580841e-01 6.914043794783352181e-01 4.864859717618363888e-01 6.902055288919254350e-01
8.000000000000007105e-01 1.018797857037123666e-01 6.834267780331686470e-01 -1.972520208726982194e-01 6.816972195733427275e-01
1.200000000000000178e+00 -5.929083994370654143e-02 6.722916157180340857e-01 -4.551838864687075548e-01 6.702071363204454846e-01
1.600000000000000533e+00 -1.899861966878454433e-01 6.545301721972422992e-01 -6.554362427516223777e-01 6.522883328696553740e-01
2.000000000000000000e+00 2.533631755533638508e-02 6.298762276999552157e-01 -6.294044455231406765e-01 6.279629451241013349e-01
2.400000000000000355e+00 4.953378716345757660e-02 5.956347564627462177e-01 -7.334679144659013161e-01 5.929861522407967600e-01
2.800000000000000711e+00 2.940975916532882484e-01 5.043197499479130652e-01 -5.087648094104334495e-01 5.040757173343030084e-01
3.200000000000000178e+00 7.945280205983233923e-01 4.049215184652541488e-01 -1.019752279653410643e+00 3.999661575875436137e-01
3.600000000000000533e+00 -4.130716640549171315e-01 2.742892857836025100e-01 -3.181795817287809691e-01 2.748092450072092130e-01
4.000000000000000000e+00 1.460677747062660847e-02 3.100911751939861710e-02 3.318079157091019527e-02 3.105219684818706638e-02
